Ano,Mês,País Importado,Produto,UF Importadora,Via,FOB (US$)
2020,11,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"117.659.673,00"
2020,12,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"110.780.210,00"
2020,10,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"90.122.338,00"
2020,9,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"80.998.037,00"
2020,2,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"75.752.678,00"
2020,1,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"65.374.644,00"
2020,3,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"62.694.868,00"
2020,4,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"49.739.269,00"
2020,8,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"48.774.496,00"
2020,9,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"48.138.108,00"
2020,7,China,Produtos químicos orgânicos,Paraná,MARITIMA,"47.896.488,00"
2020,4,Argentina,Cereais,Paraná,MARITIMA,"46.429.169,00"
2020,11,China,Produtos químicos orgânicos,Paraná,MARITIMA,"45.029.364,00"
2020,11,Rússia,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"43.780.785,00"
2020,8,China,Produtos químicos orgânicos,Paraná,MARITIMA,"41.263.677,00"
2020,8,Israel,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"40.300.892,00"
2020,9,China,Produtos químicos orgânicos,Paraná,MARITIMA,"39.991.674,00"
2020,12,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"38.975.162,00"
2020,11,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"38.398.436,00"
2020,7,China,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"38.261.990,00"
2020,11,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"36.838.176,00"
2020,11,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"35.541.868,00"
2020,6,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"35.506.418,00"
2020,9,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"34.989.233,00"
2020,12,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"34.737.441,00"
2020,7,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"34.084.754,00"
2020,10,China,Produtos químicos orgânicos,Paraná,MARITIMA,"34.077.377,00"
2020,12,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,"33.603.276,00"
2020,4,Argentina,Cereais,Rio Grande do Sul,MARITIMA,"33.353.686,00"
2020,1,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"33.086.487,00"
2020,10,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"32.568.191,00"
2020,11,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,"32.124.953,00"
2020,5,Argentina,Cereais,Rio Grande do Sul,MARITIMA,"31.703.260,00"
2020,7,Israel,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"31.096.304,00"
2020,9,Arábia Saudita,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"30.780.548,00"
2020,11,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"30.505.425,00"
2020,10,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"29.732.741,00"
2020,12,China,Produtos químicos orgânicos,Paraná,MARITIMA,"29.241.861,00"
2020,4,Marrocos,Adubos (fertilizantes),Paraná,MARITIMA,"28.454.368,00"
2020,8,China,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"28.396.339,00"
2020,12,Paraguai,Cereais,Paraná,RODOVIARIA,"28.217.655,00"
2020,11,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"27.472.707,00"
2020,3,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"27.282.692,00"
2020,9,Catar,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"27.272.600,00"
2020,11,Colômbia,Plásticos e suas obras,Santa Catarina,MARITIMA,"26.957.160,00"
2020,4,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"26.834.665,00"
2020,5,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"26.687.521,00"
2020,9,Israel,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"26.568.776,00"
2020,6,China,Produtos químicos orgânicos,Paraná,MARITIMA,"26.331.851,00"
2020,2,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"25.601.179,00"
2020,1,China,Produtos químicos orgânicos,Paraná,MARITIMA,"25.567.021,00"
2020,2,Irã,Adubos (fertilizantes),Santa Catarina,MARITIMA,"25.540.415,00"
2020,9,China,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"25.455.530,00"
2020,1,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"25.128.989,00"
2020,12,Malásia,Borracha e suas obras,Santa Catarina,MARITIMA,"25.117.765,00"
2020,4,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"25.036.375,00"
2020,12,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"24.991.943,00"
2020,5,Rússia,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"24.861.659,00"
2020,5,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"24.667.416,00"
2020,9,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"24.631.199,00"
2020,7,Malásia,Borracha e suas obras,Santa Catarina,MARITIMA,"24.586.763,00"
2020,11,China,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"24.539.138,00"
2020,11,Israel,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"24.347.583,00"
2020,7,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"24.254.489,00"
2020,6,China,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"24.248.496,00"
2020,7,Arábia Saudita,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"24.213.380,00"
2020,6,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"24.201.671,00"
2020,9,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"24.181.710,00"
2020,10,Israel,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"23.964.772,00"
2020,1,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"23.905.586,00"
2020,6,Israel,Produtos diversos das indústrias químicas,Paraná,MARITIMA,"23.833.197,00"
2020,2,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"23.485.060,00"
2020,8,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"23.060.529,00"
2020,10,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,"22.993.513,00"
2020,11,China,Borracha e suas obras,Santa Catarina,MARITIMA,"22.725.516,00"
2020,7,Irã,Adubos (fertilizantes),Santa Catarina,MARITIMA,"22.653.117,00"
2020,5,China,Produtos químicos orgânicos,Paraná,MARITIMA,"22.465.807,00"
2020,6,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"22.455.066,00"
2020,12,Omã,Adubos (fertilizantes),Santa Catarina,MARITIMA,"22.443.053,00"
2020,11,Irã,Adubos (fertilizantes),Santa Catarina,MARITIMA,"22.048.342,00"
2020,12,Colômbia,Plásticos e suas obras,Santa Catarina,MARITIMA,"21.693.161,00"
2020,7,Estados Unidos,Produtos diversos das indústrias químicas,Paraná,AEREA,"21.561.489,00"
2020,4,China,Produtos químicos orgânicos,Paraná,MARITIMA,"21.324.364,00"
2020,7,Rússia,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"21.095.851,00"
2020,12,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"21.084.280,00"
2020,1,Paraguai,Cereais,Paraná,RODOVIARIA,"21.001.205,00"
2020,4,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,"20.840.461,00"
2020,12,China,Borracha e suas obras,Santa Catarina,MARITIMA,"20.794.780,00"
2020,7,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"20.663.031,00"
2020,10,Paraguai,Cereais,Paraná,RODOVIARIA,"20.173.742,00"
2020,8,Belarus,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"20.151.629,00"
2020,7,Belarus,Adubos (fertilizantes),Paraná,MARITIMA,"20.125.043,00"
2020,8,Rússia,Adubos (fertilizantes),Paraná,MARITIMA,"20.038.905,00"
2020,3,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"20.012.949,00"
2020,9,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"19.931.056,00"
2020,11,China,Adubos (fertilizantes),Paraná,MARITIMA,"19.844.686,00"
2020,10,Marrocos,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"19.770.248,00"
2020,3,China,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"19.591.979,00"
2020,3,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,"19.549.220,00"
2020,5,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"19.506.647,00"
2020,1,China,Borracha e suas obras,Santa Catarina,MARITIMA,"19.503.879,00"
2020,1,Estados Unidos,Plásticos e suas obras,Santa Catarina,MARITIMA,"19.296.995,00"
2020,2,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"19.227.659,00"
2020,9,Colômbia,Plásticos e suas obras,Santa Catarina,MARITIMA,"19.120.777,00"
2020,5,Chile,Cobre e suas obras,Santa Catarina,MARITIMA,"19.086.290,00"
2020,8,China,Plásticos e suas obras,Santa Catarina,MARITIMA,"19.074.768,00"
2020,4,Arábia Saudita,Adubos (fertilizantes),Rio Grande do Sul,MARITIMA,"19.050.295,00"
2020,3,Argentina,Plásticos e suas obras,Santa Catarina,MARITIMA,"19.011.726,00"
2020,9,Irã,Adubos (fertilizantes),Santa Catarina,MARITIMA,"18.955.720,00"
2020,3,China,Produtos químicos orgânicos,Santa Catarina,MARITIMA,"18.942.832,00"
